"year"|"congress"|"title"|"abstract"|"link"|"tags"
"1984"|"1C3"|"Kommunikation über den Computer. Grundwissen"|"Workshop"||"t"
"1984"|"1C3"|"Datex und ähnliche Netzwerke"|"Workshop"||"t"
"1984"|"1C3"|"Professionelle Mailboxen: Konzepte und Beispiele"|"Workshop"||"t"
"1984"|"1C3"|"Bedienerfreundlichkeit und Datenschutz in Mailboxen"|"Diskussion"||"t"
"1984"|"1C3"|"Psychische Störungen durch Computermißbrauch"|"Workshop"||"s"
"1984"|"1C3"|"Offene Netze. 15 Jahre Erfahrung aus den USA"|"Workshop"||"s/t"
"1984"|"1C3"|"Rund um Bildschrimtext"|"Workshop"||"t"
"1984"|"1C3"|"Anfängerz ins Telefonsystem"|"Workshop"||"t"
"1984"|"1C3"|"Datenfunk"|"Workshop"||"t"
"1984"|"1C3"|"Jura für hackz"|"Workshop"||"s"
"1984"|"1C3"|"Modems. Von Datenklo bis Autodial und -answer"|"Workshop"||"t"
